,itemname,content,region,price,score,keywords,seoul_ipad
10,미개봉🖤아이패드프로 4세대 11인치 256g,"3주전에 가로수길에서 구매 

아이패드 쓰려다가 맥북 급 구매해서 안쓰게 됐습니다 
미개봉
색상 스그 
용량 256g
wifi용입니다 

직거래 왕십리역에서 원해요",서울 성동구 행당동,950000,120,"없음, 미개봉, 256",서울 성동구
11,마지막 파격세일!!ss급 아이패드 프로4세대 셀룰러 11인치 128g 판매합니다,"초ss급!!!
아이패드 프로4세대 11인치
 128g 셀룰러 풀박스
작년 5월에 구매했습니다
구매하자마자 바로 강화유리필름 
옆면 뒷면 보호필름 부착햇구요
범퍼케이스 착용후 집에서 동영상 시청정도만한
완전 새제품급 입니다.
배터리사이클 짱짱 하고 생활기스 잔기스 전혀 없습니다.
가격흥정xx",부산 금정구 장전제3동,830000,137,"없음, 필름, 최상급, 새제품, 셀룰러",기타지역
12,아이패드 프로4 11인치 256gb wifi,"아이패드 프로4세대 11인치 256gb 입니다
구성품, 박스 다 있고 사진 그대로 흠집 기스 하나도 없어요. 

보증기간 21년 6월 2일까지입니다. 

깨끗히 써서 아무 문제없어요!

연락주세요",경북 울진군 북면,790000,117,"없음, 풀박스, 256",기타지역
13,아이패드 프로4세대 11인치 128기가 와이파이 풀박스,"넷플릭스 보는 정도로만 이용했어요
워낙 조심히 쓰는 스타일이라 생활 기스나 액정 스크레치 하나도 없습니다
쿨거래시 약간의 네고 가능합니다",경기도 구리시 인창동,750000,100,없음,기타지역
14,아이패드 프로 4세대 11인치 128gb wifi 스페이스그레이,"맥북으로 넘어갈 예정이라 판매합니다.

3월초 구매 / 보증기간 22년 2월 말
스페이스 그레이 / wifi / 128gb

구성품 : 풀박스

사용 기간 : 2개월 동안 풀케이스 끼고 집에서 인강만 들었습니다. 

기스 하나도 없습니다.

특 a급 입니다.

전면 풀 액정유리 + 뒷면 카메라 보호유리 사용중입니다.",서울 강남구 역삼동,790000,107,"없음, 최상급",서울 강남구
15,아이패드 프로4 11인치 128기가wifi+애캐플,"풀박+케이스 판매(펜슬제외,포함시+10)
액정과 본체에 기스 하나도없습니다
깨끗하게 사용해서 새제품컨디션입니다
5만원내면 리퍼교환가능한 애케플 여태 한번도사용x 내년 5월까지입니다

(마지막 네고 5.31 86만)",경남 진주시 충무공동,860000,110,"없음, 리퍼기간, 새제품, 에플케어x",기타지역
16,아이패드 프로4세대 11인치 스페이스그레이 128g wifi 풀박스,"한달정도 사용 
사용한지 얼마 안되서 기스 흠집 일체없습니다
충전기 케이블 풀박스로 드립니다
애케플은 안돼있습니다
네고문의는 받지않습니다",경남 창원시 의창구 의창동,750000,112,"없음, 애플케이플러스, 풀박스, 에플케어x",기타지역
18,아이패드 프로 4세대 11인치 wifi 128g 스페이스 그레이,"아이패드 프로4세대 11인치 wifi 128g 스페이스 그레이 모델 입니다.
주로 인강이나 동영상 시청으로 사용했습니다.
배터리 효율 100%입니다.
사용시간 엄청 적어요
패드의 측면 상단 부분에 조그만 까짐 있습니다.
생활흔적 미세하게 있음
제한보증기간은 올해 10월 입니다.12월에 새 제품으로 교환 받았습니다.
풀박스에 제가 쓰던 구성품 모두 드립니다.
직거래는 동안구에서 가능하고 중고 특성상 반품안됩니다.",경기도 안양시 동안구 관양동,699000,112,"없음, 새제품, 풀박스, 생활흔적",기타지역
19,아이패드 프로4세대 11인치 256gb 셀룰러 모델,"구매일자 : 2020년 10월1일

구매한 이후로 커버씌우고 계속 사용해서 깔끔합니다. 화면은 종이질감필름 붙여서 사용하고 있습니다. 궁금하신 사항 있으시면 연락주세요~
색상은 스페이스 그레이 입니다.~!",경기도 고양시 덕양구 능곡동,980000,105,"없음, 필름",기타지역
20,아이패드 프로 4세대 11인치 128g,"제가 기능을 다 못써 낮은 사양으로 가기위해 팝니다.
아이패드 프로 4세대 11인치 wifi 128g 색상은 스페이스그레이 입니다
주로 유튜브나 넷플릭스 시청에 썼습니다.무리한 작업no
보증기간은 2021년 10월 중순까지이고,12월에 새제품으로 교환받아 사용기간이 다른 제품들보다 짧습니다.
작은 칠 벗겨짐 한군데랑 미세한 생활흔적 2군데 있어요.
직거래 선호하고, 중고특성상 반품은 어렵습니다.
풀박스이고 필름과 케이스 모두 부착되어 있습니다.(5만원상당)
배터리 효율은 100%입니다",경기도 안양시 동안구 관양동,700000,100,"없음, 필름, 새제품, 파손, 생활흔적",기타지역
21,applecare+] 아이패드 프로 4세대 11인치 wifi,"외관 정말 새거상태고요. 128기가 입니다.
애플케어플러스 가입(169,000원) 했어요.


연락주세요~
직거래용문희망합니다",대전 서구 용문동,790000,110,"없음, 새제품",기타지역
23,아이패드 프로 4세대 (11인치/256gb) 👏🏻,"-아이패드 프로 4세대 
-스페이스그레이
-11인치 / 256gb / wifi
-구매원가: 99880엔 (약 103만원)
작년 11월에 일본에서 구매하였습니다.
인터넷 서핑, 영상 시청 정도로만 사용하였습니다.
구매하자마자 범퍼케이스를 끼워 사용했기 때문에 기스, 찍힘 등 전혀 없이 깨끗합니다.
영종 하늘도시 하나로마트 주변 직거래 희망합니다! 추가 사진 원하시면 채팅으로 드리겠습니다.

*확인하셔야 할 사항
-박스 없습니다.
-애플케어 없습니다.
-충전기 일본 구매 상품이라 220v변환기 끼워 드립니다.(사진 참고해주세요)
-범퍼케이스 함께 드립니다. (필요 없으시면 미리 말씀해주세요.)",인천 중구 중산동,880000,110,"없음, 256",기타지역
24,아이패드 프로4 11인치 셀룰러 512g 스페이스그레이(애플케어) 팝니다,"작년 12월달에 구매해서 쓰다가 
최근에 잘 안쓰게되서 팝니다
애플케어 2월 23일에 가입해놨고 
23년2월23일까지 보증됩니다 
아이패드에 저반사 필름 붙여놨는데 기포가 조금 들어가있어요

케이스끼고 사용해서 정말 미세한 생활 잔기스정도는 있을수 있습니다
밖에 안가지고 나갓어요

케이스는 끼워져있는 투명 케이스 같이 드립니다
아이패드 상자와 정품 충전기 모두 포함입니다

애플케어 양도 원하시면 해드립니다

고가 제품인 만큼 직거래 위주로 거래합니다
직거래는 파주 운정 이마트 부근에서만 가능합니다
택배거래시 구매자부담입니다",경기도 파주시 운정3동,1300000,103,"없음, 필름, 리퍼기간, 기스",기타지역
25,아이패드 프로 4세대 11형 256 wifi 애플케어+,"22년 6월 19일까지 보증 남아있고
제품 상태 자신 있습니다
사용 거의 안했어요 집에서만 모셔두고 있었고
영상시청도 갤탭으로 해서 실사용 얼마 안되요
기스 찍힘없어요 
정품 케이스, 파우치 같이 드려요
이사하면서 필름이 어디있는지 모르겠는데 필름 
찾으면 같이 드릴께요...
보호필름 찾았어요 전면 새거 두장 후면 한장
입니다",부산 사상구 모라동,850000,115,"없음, 리퍼기간, 새제품",기타지역
26,아이패드 프로 4세대 11인치 512g wifi 팝니다.,"작년 가을에 샀습니다. 상태는 좋습니다! 케이스도 드립니다

85만원 생각 합니다. 2391 5294 연락주세요",대전 유성구 온천1동,850000,100,없음,기타지역
27,아이패드 프로 4세대 11인치스그  128g 셀룰러 애플케어 판매합니다,"프로 11인치 2세대 스그모델 128g 셀룰러
작년 5월달쯤 구매한거같은데
보호필름은 부착은안했고 esr케이스 증정받은건데
케이스는 깨진부분이랑 사용감있을거고요
본체도 사용감있을건데
애캐플때문에 이점 양호할거같습니다",경기도 평택시 칠원동,900000,120,"없음, 필름, 셀룰러",기타지역
28,아이패드 프로 4세대 11인치 128gb wifi 실버 판매합니다.,"제품명: 아이패드 프로 4세대 11인치 128gb wifi 실버
구입 시기: '20. 10. 26.(리퍼 기간: ~'21. 10. 27.)

기타 사항
* 교환·네고 문의 및 예약 받지 않습니다.
* 현장 네고 요청 시 거래 안 합니다.
* 기본 구성품 풀박스+케이스 구성입니다.
* 액정 필름은 부착되어 있지 않습니다.
* 찍힘, 깨짐, 큰 흠집은 없으며, 사용감은 사진 참고 바랍니다.(전면 사진에 하얀 점은 먼지입니다.)
* 배터리 사이클은 53회이며, 평소 80% 이하로만 충전하여 배터리 컨디션이 상당히 좋습니다. 수치상으로도 100% 컨디션이며 설계 용량보다 현재 배터리 상태가 훨씬 좋습니다.(사진 참조)",경북 상주시 함창읍,680000,105,"없음, 필름",기타지역
29,아이패드 프로4 11인치 128gb wifi,"아이패드 프로 11인치 2세대 (2020년형, 프로4라고도 불림) 판매합니다.
상단에 작은 흠집 있는것 빼고 깨끗합니다.
앞면 강화유리 필름, 뒷면카메라에 강화유리 필름 부착되어 있습니다.
제한보증은 6월13일까지입니다.
본체+충전기 풀박스 구성입니다.
연신내 직거래 가능합니다.",서울 은평구 불광제2동,790000,112,"없음, 필름, 풀박스",서울 은평구
30,아이패드 프로 4세대 11인치(2세대) 128g wifi,"아이패드 프로 4세대 11인치 128g wifi 판매합니다
깔끔하게 사용하였습니다.



구성품 : 박스포함 일체, 커버 케이스, 종이질감 되어있음
외관 : 기스 없이 ss급으로 깨끗합니다.
보증: 제한보증 21년 6월 

연락주세요",부산 동래구 안락동,790000,107,"없음, 최상급",기타지역
31,[미개봉] 아이패드 프로4 11인치 256기가 새제품 실버 와이파이 판매합니다,"한국정발 미개봉제품입니다
  가격절충 불가능합니다",대전 유성구 봉명동,870000,110,"없음, 미개봉",기타지역
32,아이패드프로4세대 11인치 판매,"아이패드프로4세대 11인치+ 매직키보드
+애플케어플러스

힐링쉴드 전면액정, 뒷판 및 테투리 필름 붙어 있습니다",강원도 홍천군 홍천읍,1150000,105,"없음, 필름",기타지역
33,아이패드 프로4 11인치 256기가 스페이스그레이 와이파이 미개봉새제품 팝니다,"애플코리아 정품

가격네고 불가능합니다

  직거래 협의해서 가능 합니다",충북 청주시 흥덕구 복대동,860000,100,없음,기타지역
34,"아이패드 프로4세대(11인치 2세대)128g wifi 
애플케어플러스 풀박","아이패드 프로 4세대(11인치 2세대)128g wifi 
애플케어플러스 풀박 
- 애플케어플러스 보증 만료일 : ~ 22.10.19
- 종이질감필름 부착 상태
- 와관상태 최상(스크래치 없음)
- 2만원대 esr 백커버 케이스 + 3만원대 멀티앵글 케이스 포함
@ 패드 특성상 애케플은 필수이며 기간이 내년 10월까지라 편하게 사용하다가 리퍼받으시면 될 거 같아요
 - 직거래만 하며 간석사거리 또는 간석지유시장에서 합니다(협의 가능)",인천 남동구 간석3동,850000,112,"없음, 필름, 최상급",기타지역
35,아이패드프로 4세대 11형 128g 스그,완전새거 유튜브시청만 가끔했어요,대구 달서구 대곡동,800000,110,"없음, 새제품",기타지역
36,아이패드 프로 4세대 11인치 와이파이 애케플 추가 팜팜,"박스 구성품 누락 아무것도 없음
구성품 외관 모두 매우 깨끗 함

아이패드 프로 4세대 11인치 와이파이 128기가
애플케어+ 22년9월
배터리 100프로 40시간사용
외관 매우 깨끗합니다
-부속품 미사용 풀박스


애플펜슬 2세대
-부속품 미사용 풀박스

k380키보드 사용시간 5시간이 안됨
박스에서 꺼내만 놓음 

esr 폴리오케이스
정면 상단에 눈 에 안 보이는 까짐 있음

클리어 케이스, 아이패드 파우치

12월에 10시간 정도 사용한 제품 구매했으나
사용빈도가 워낙 적어서 다시 판매 함",서울 금천구 가산동,1000000,105,"없음, 미사용",서울 금천구
37,아이패드프로4세대 11인치(2세대) 256gb wi-fi,"미개봉 새상품입니다.
아이패드 프로 11인치(2세대) 256gb wi-fi 
필요하신분 연락주세요.
사진은 실사입니다.",서울 송파구 가락1동,940000,130,"없음, 미개봉, 새제품, 256",서울 송파구
38,아이패드프로4세대 11인치 128기가 와이파이 애케플팔아요,"아이패드프로4세대 11인치 128기가 와이파이
입니다
애케플 가입되어있고 1회사용했고
1년에 2번 총 4회중에 1번썼습니다
리퍼받아논거라 지금기기상태는 새거나다름없어요
리퍼받을땐 기기만 줘서
단품입니다
오시면 기름도 넣어드릴께요",광주 북구 용봉동,780000,110,"없음, 새제품",기타지역
39,"아이패드 프로4세대 11형 256gb wifi (스그, 펜포함)팝니다.​

​","아이패드 프로4세대 11형 256gb wifi (스페이스그레이)팝니다.

상태 깨끗합니다.

사용량 많지 않았고 스크라치 없습니다.

​케이스와 펜, 박스 등 모두 포함입니다.

가격은 95만원입니다.

​010-5648-5222

서울 사당, 성수, 용산 직거래 가능합니다.

문자주세요!",서울 동작구 사당제1동,950000,110,"없음, 256",서울 동작구
40,아이패드 프로4세대 11인치,"구매일자는 작년 12월 중순쯤되고 유튜브 보는용도로 밖에 안썼습니다.. 진짜 애지중지 아끼던거라 엄청깨끗하고 기스하나 없습니다. 정말 기스는 찾아보실수 없으실거에요. 맥북에어 사고싶어서 내놓아요
정말 새제품같은거 사고싶으시면 이거 꼭 사셨으면 합니다! 꽉 막히지 않았으니까 언제든 연락주세요~😊",충북 청주시 흥덕구 강서제1동,880000,110,"없음, 새제품",기타지역
41,아이패드 프로 4세대 11인치 스그 128기가 셀룰러 판매,"안녕하세요

3월경에 당근에서 자급제 셀룰러모델 구입하였고

갤탭으로 변경하면서 판매하게되었습니다

애플케어 없구여

기기상태 깨끗합니다

보증기간 22년3월18일 까지에요

거래후 환불은 안되세여

연락주세요-!",경기도 파주시 조리읍,800000,115,"없음, 셀룰러",기타지역
42,아이패드 프로4세대 11인치 wifi 256g 미개봉 새제품 판매합니다,"아이패드프로 4세대 11인치 wifi 256g
애플코리아 정품 미개봉 새제품
색상은 스페이스그레이입니다.
직거래위치는 서울 길음역
네고는 불가합니다.",서울 성북구 정릉제1동,920000,130,"없음, 미개봉, 새제품, 256",서울 성북구
43,"아이패드 프로 4세대 11인치 스페이스 그레이(wifi,256gb)","풀박×, 애플펜슬×
2020년 8월 22일에 구매해서 23일 오후에 받았습니다.
따로 애플케어를 가입하지 않았고 항상 케이스를 끼고 사용해서 기스, 사용감 하나도 없습니다. 쭉 사용할 생각으로 과충전 한 적 없고 필기용으로만 사용해서 떨어뜨린적 없고 휨 없습니다.
12.9인치로 갈아탈 예정이라 케이스와 파우치, 빅쏘 자석형 종이질감필름도 같이 드립니다.
강화필름 붙여놓긴 했는데 먼지 살짝 들어가있습니다.
거래는 금요일 저녁, 토요일, 일요일 오전에 가능합니다.
사진 필요하시면 톡 주세요.",세종시  종촌동,865000,105,"없음, 필름",기타지역
44,s급 아이패드 프로 4세대 11인치 128gb 와이파이 실버 모델 팝니다.,"전,후면 카메라 전부 필름 붙이고 사용해서 기스 일절 없습니다. 기기변경으로 팔게 되었습니다. 네고 가능하니 찔러보기 해주세요. 풀박스입니다.",경기도 용인시 처인구 운학동,900000,107,"없음, 풀박스",기타지역
45,아이패드 프로4쎄대 11인치 wifi 128g,"아이패드 프로 4세대.11인치 와이파이.128g 
깨끗합니다.
박스.충전기. 케이스. 종이질감필름 
배터리효율 100%
민락동입니다",부산 수영구 민락동,800000,100,없음,기타지역
46,아이패드프로 4세대(2세대) 11형 128기가 셀룰러 팝니다,"아이패드프로 4세대(2세대)11형 스페이스 그레이 128기가 셀룰러 팝니다
자급제이며 보증만료 22.04.25까지 입니다
풀박스이며 완전 새상품급 입니다 앞뒤 힐링쉴드 필름 부착상태입니다
스마트키보드도 전혀 흠집 없어요
직거래만 합니다",경기도 화성시 동탄1동,950000,130,"없음, 필름, 새제품, 셀룰러",기타지역
47,아이패드 프로 4세대 11인치 wi-fi 128gb(+애케플) 풀박스팝니다.,"모델: 11인치형 ipad pro 4세대 wi-fi 128gb 스페이스그레이
구매일자: 2020. 5.
애플케어플러스 보증기간: 2022. 7.
배터리효율: 100%

전면 종이질감필름 붙혀진 상태고
흠집, 찍힘, 휘어짐, 칠벗겨짐 없습니다.
평소 폴리오케이스 부착하여 필기용, 영상시청으로만 사용하였고

배터리 사용패턴은 20~80%로만 충전
하루에 한번 재부팅
이로써 최대한의 배터리효율을 발휘하게끔 사용했습니다.

애케플도(1년에 2번, 총 4번)
한번도 사용 안한상태이고
애케플 끝나기전에 사용하면 새아이패드로 사용가능합니다.

직거래 원하지만 채팅주시면 거래방법, 일정, 장소 조율가능합니다.",경기도 안산시 상록구 사동,800000,110,"없음, 애플케이플러스, 미사용, 에플케어x",기타지역
48,아이패드 프로 4세대 11인치 128gb,"wifi

모든 구성품 다 있고 제품a+급입니다! 흠집이나 하자 휨같은거 전혀 없음!
배터리 100퍼입니다!

구매는 작년 12월이고
필름이랑 케이스는 없어요 ㅠ",전남 여수시 덕충동,760000,107,"없음, 풀박스",기타지역
49,아이패드 프로4 11인치(2세대) 가격수정,"11인치 (2세대)
wifi / 128기가 / 스페이스그레이 모델
애플케어플러스 ㅇ

애플케어플러스 22년 9월 1일까지
1월에 리퍼 후 케이스 및 강화유리 붙이고
집에서 동영상 시청용으로만 사용
기스,찍힘 없는 a급

@애케플은 1월에 패드본체 키보드리퍼로 2회사용
(키보드 따로 판매)
21년 9월부터 다시 2회사용 가능
(참고:애케플 12개월당 2회씩 - 최대4회 가능)


풀박 + 파우치",서울 송파구 문정동,780000,117,"없음, 최상급, 애플케이플러스",서울 송파구
50,아이패드 프로 4세대 11인치 (스마트폴리오 흰색포함),"아이패드 프로 4세대 11인치 팝니다.
128기가, 와이파이, 실버입니다. 
작년 12월에 사서 상태 좋은편입니다..
아이패드 정품 케이스(스마트폴리오) 흰색포함입니다. 에눌은 따로 안합니다.",인천 연수구 선학동,1000000,100,없음,기타지역
52,(급처) 아이패드 프로 4세대 11인치 128기가 와이파이 모델 팝니다,"아이패드 4기가 11인치 128기가 옵션 판매합니다.

애플펜슬은 미포함이고 종이질감 필름이 붙어있으며

보시는 케이스도 포함입니다.

기존 구성품은 비닐까지 포함해 전부 포함되어 있으며 

보증기간은 사진에서 확인하실 수 있습니다.

더 궁금한 사항은 메세지 보내주세요.",대전 서구 만년동,830000,110,"없음, 필름, 리퍼기간",기타지역
53,아이패드 프로 4세대 11인치 128기가 와이파이 판매합니다,"보증기간은 지났습니다. 깨끗하게 사용했고, 사용하던 케이스도 드리겠습니다. 보호필름도 붙여져있어요!! 연락주세요!

애플펜슬 추가하시면 87만원에 드려요! (애플펜슬에 이름이 각인되어있습니다)",충남 천안시 동남구 목천읍,770000,90,"없음, 필름, 에플케어x, 각인",기타지역
54,[미개봉새제품] 아이패드 프로 4세대 11인치 256g 실버,"미개봉 아이패드프로 4세대 11인치 256g 실버
93만원에 판매합니다.

'현대차 중랑지점'(로얄스포츠센터 맞은편) 앞
혹은 'gs25 편의점 상봉사랑점' 앞에서 거래 원합니다.

연락 주세요",서울 중랑구 상봉동,930000,120,"없음, 미개봉, 256",서울 중랑구
55,미개봉 아이패드 프로 4세대 11인치 256g 실버,"미개봉 아이패드 프로 4세대 11인치 256g 실버

모래내시장역 근처에서 저녁시간 직거래 합니다.",인천 남동구 구월2동,930000,120,"없음, 미개봉, 256",기타지역
56,새상품 아이패드 프로4세대 11인치 셀룰러 실버 128기가,"애플케어 가입
최근에 리퍼 받고 사용하지 않은 새상품 입니다. 
구성품 및 박스 있슴.",경기도 김포시 구래동,880000,110,"없음, 새제품",기타지역
58,(미개봉) 아이패드 프로4세대 11인치 128기가 wifi 스페이스그레이,"구입처: 쿠팡
제조연월: 2020/11

개봉 안하고 보관만 해뒀던 새제품입니다
구매한지 한지 좀 된거라 애케플 가입 되는지는
잘 모르겠어요 (구입일 기준인지 활성화 기준인지, 기준이 애매)
이점 확인 후 구입부탁드립니다~
★미개봉 제품이라 개봉 후 환불 불가능합니다★
묻지마 환불하실분은 새제품 구매해주세요 :)

에눌 받지않습니다
직거래 위치: 개봉역/개봉2동 근처",서울 구로구 개봉동,850000,120,"없음, 미개봉, 새제품",서울 구로구
59,[애플케어+] 아이패드 프로 4세대 11인치 (2세대) 256gb wifi 스페이스 그레이,"20년 8월 구입 아이패드 프로입니다.

용량은 256gb, 와이파이 전용 모델이구요.

애플케어 플러스 가입 모델이구 한번도 as받은적 없습니다.

집에서만 사용해서 상태 s급입니다.

액정 보호 필름 구석이 조금 까져있는데 본체엔 이상 없구요 사용에 지장 없습니다.

필름 교환할 가격으로 3만원 낮췄습니다. (87만)

본체 박스랑 구성품 전부 있습니다.

스마트커버 일체형 케이스 덤으로 드려요.

대전 복합 터미널 근처에서 직거래만 합니다.",대전 동구 용전동,870000,124,"없음, 최상급, 풀박스, 256",기타지역
60,아이패드프로 4세대 11인치 128 셀룰러 스그 애플케어팝니다,"애플케어 22년 5월 4일까지입니다 스페이스그레이입니다
무상리퍼받고 강화유리만 붙힌 새거입니다
애플케어 리퍼 한번도 안받았습니다
긍금한점 있으시면 채팅주세요
직접보시면 만족하실겁니다",대구 수성구 지산동,800000,110,"없음, 새제품",기타지역
61,아이패드 프로 4세대 11인치 128gb 셀룰러버전 팝니다.,"아이패드 프로 4세대 11인치 128gb 셀룰러버전 팝니다. 짭플펜슬도 같이드립니다
집에서만 사용하고 케이스와 강화유리로 기스하나없는 새제품같습니다.",대구 달성군 구지면,850000,125,"없음, 새제품, 셀룰러",기타지역
62,아이패드 프로4세대 11인치 스그 와이파이버전,"2021년도 4월 제조된 아이패드입니다
아이패드 박스 비닐만 제거 후 사용하지 않은 제품입니다.
애플공홈에서 정가로 구입하고 12.9인치로 넘어가기 위해 싸게 팔아요..

어디서 어떻게 사용됐을지 모르는 중고 아이패드 말고 단순개봉 미개봉급 추천드립니다",대전 중구 태평2동,870000,110,"없음, 미개봉",기타지역
63,아이패드프로4세대(2세대) 11인치 512gb wifi,아직 보증기간 남은 아이패드프로 판매합니다!~ 사자마자 젤리커버에 앞면과 후면 그리고 카메라에도 보호필름붙이고 사용했어서 기스 하나도 없습니다. 사진에 보면 카메라보호필름 조금 깨졌는데 구매하신다면 필름도 여유분으로 드릴게요 ~ 충전기도 포함해서요 ~ 와이파이모델이에요!,전북 전주시 완산구 중화산동2가,1100000,100,없음,기타지역
64,아이패드프로4세대11형,"아이패드 프로 4새대 11형 리퍼받은 새 제품 판매합니다. 저는 약8개월동안 아이패드 사용했고 사용 중 고장이나서 구매하실 분 연락오면 새 제품으로 리퍼 받아 바로 드립니다.


궁금하심점있으시면 연락 주세요!!!

*참고) 충전기 포함 풀 박스 95만원(아이패드)",전북 익산시 영등동,870000,110,"없음, 새제품",기타지역
65,아이패드프로4세대128 11인치,"s급 4세대128 11인 셀룰러 
에플케어플러스 가입  2022 06
강화필름
4세대12.9 교신가능 합니다",전남 순천시 풍덕동,850000,122,"없음, 최상급, 셀룰러",기타지역
