,itemname,content,region,price
1328,아이패드 프로 3세대 11인치 셀룰러 64기가 팝니다,"보증기간 21년 10월 14일 까지인 아이패드 프로 셀룰러 64기가 스페이스 그레이 팝니다.
이번에 5세대로 넘어가면서 팝니다
본체, BASEUS 폴리오 케이스, 어뎁터에 케이블은 미사용입니다(박풀)
테크토파크역에서 직거래 합니다.",인천 연수구 송도동,"650,000원"
1329,아이패드 3세대 2011-2012년형 스페이스 그레이 64GB (충전기 포함),"2011-2012년 쯤 구매한 아이패드입니다. (와이파이 전용)
정확히 몇 세대인지 몰라 구매년도 적어놨습니다.
아마 2세대 or 3세대 입니다.
매번 아이패드를 바꾸었던지라 10년 된 아이패드 치고 정말 깨끗합니다. 정말 육안으로 보면 새거나 마찬가지에요ㅜㅜ
(기스나 찍힘은 사진 참고)
충전기도 얼마 전 구입해서 정말 새 상태입니다.
어느정도 연식이 있다보니 문서작업이나 스케치 용도보다는 유튜브, ott같은 영상 보는 용도로 쓰면 좋을 것 같습니다.
직거래 가능지역 : 애오개역
택배비 추가시 택배 가능",서울 마포구 공덕동,"45,000원"
1330,아이패드 프로 3세대 11인치 셀룰러 64기가 팝니다,"보증기간 21년 10월 14일 까지인 아이패드 프로 셀룰러 64기가 스페이스 그레이 팝니다.
이번에 5세대로 넘어가면서 팝니다
본체, BASEUS 폴리오 케이스, 어뎁터에 케이블은 미사용입니다(박풀)
장승배기역 직거래 합니다",서울 동작구 노량진제1동,"650,000원"
1331,아이패드 에어2 64G wifi 팝니다.,"충격기스 있습니다. 
액정은 깨지거나 금 기스 없고 상태 좋습니다. 
유리필름지 상태가 안좋아서 거래시 필름은 탈거 하고 거래진행 합니다. (기존 필름 유지 가능여부 말씀해주세요.)
18만원 
정말 사실분만 연락주세요. 
두정동/백석동/성성동/성정동
 지역 직접 갖다드리겠습니다.",충남 천안시 서북구 두정동,"180,000원"
1332,칼리아 핸드폰 아이패드 거치대 자바라 집게형 팔아요,"칼리아 핸드폰 아이패드 거치대 자바라 집게형 팔아요

높이 조절하는 부분이 조금 깨졌어요
(사용하는데 지장 전혀 없습니다)

직거래 원하며
이수역 13번 출구 앞에서 보는 것 원합니다

만약 저희 집 앞으로 오신다면 8천원에 팔게요

단단하여 고정 잘하는 편이고
저는 아이패드 10인치 썼습니다

책상 두께 7cm미만에서 사용 가능합니다",서울 동작구 사당제2동,"10,000원"
1333,아이패드 프로 9.7인치 128GB + 애플펜슬 1세대 + 충전기 + 풀박스,"아이패드 프로 9.7인치 128GB + 애플펜슬 1세대

[구성품]
- 아이패드 프로 9.7인치 128GB
- 아이패드 충전기(미사용), 케이블(미사용)
- 애플펜슬 1세대
- 애플펜슬 충전젠더(미사용), 추가팁(미사용)
- 아이패드 및 애플펜슬 박스

구입즉시 보호필름 및 케이스 착용으로
스크래치 없이 사진과 같이 상태가 좋습니다.
필요하시면 사용중인 젤리케이스 및 가죽슬리브
같이 드립니다.
애플펜슬의 그립 부분은 제거 가능합니다.

#apple #iPad Pro #9.7inch #128GB 
#Tablet PC #Pencil #A1673",경기도 수원시 권선구 오목천동,"420,000원"
1334,아이패드 에어3 64g + 애플펜슬 1세대 풀박스,"아이패드 에어3 64g
애플펜슬 1세대 둘다 풀박스입니다
배터리 성능 99%
케이스 두개도 같이드려요

따로파는 가격은
펜슬 8
아이패드 49입니다

그림그리려고 샀다가 안써서 팝니다
네고안받습니다",충북 청주시 청원구 오창읍,"550,000원"
1335,아이패드 에어 4세대 64 wifi 스그 + 스마트키보드폴리오,"진짜로 장난 안치고 들고 집 밖을 나간적도 없고 구매한지 한달 반 진짜 새거구요 키보드도 정품이고 진짜 새거예요 집에서 넷플릭스랑 유튜브만 조졌어요 ..
박스 다 있고 패드 설명서랑 충전기는 잃어버려서 고속충전기 넣어드려요..
패드 필름도 해놨는데 똥손이라 진짜 진짜 미세하게 망했어요 ..
쿨거시 많이 에눌해드릴께요 얼른 사가세요 !!

정품인증가능 최근구매 인증 쌉가능",부산 기장군 정관읍,"740,000원"
1336,폴렌 이태리소가죽 클러치&아이패드케이스 팔아요,"폴렌 가로수길 디자이너 브랜드예요
이태리소가죽이예요.
재택근무로 잘 안들게 되어서 판매합니다.
사용감 전혀없어요. 딱 한번 들고나갔습니다.",서울 관악구 신림동,"35,000원"
1337,아이패드 프로 9.7 S급,"아이패드 프로 9.7 스페이스 그레이 
128GB wifi 모델입니다!
상태는 S급이고 케이스 같이 드립니당
충전기어댑터는 있고 선은 없습니다!
찍힘 전혀 없고 육안으로 보이는 기스도 전혀 없습니다!",인천 남동구 구월2동,"550,000원"
1338,아이패드 1세대,생활기스 있음,충북 증평군 증평읍,"50,000원"
1339,로지텍 아이패드 블루투스 키보드 판매합니다,2달전 구매하였고 제 아이패드가 작아서 잘 사용안했어서 판매합니다. 실제로 사용 3번정도밖에 안했고 완전 새 제품입니다. 구매할땐 45000원에 구매했습니다. 쿨거래 + 직거래시 네고 가능합니다,경기도 김포시 장기동,"35,000원"
1340,(미개봉)아이패드 종이질감 필름 (에어 3/프로 10.5),"10.5 인치 아이패드 종이질감 필름
후기 찾아보고 좋다고 해서 쟁여둔 필름
호환 모델 아이패드 에어 (2019), 아이패드 프로 (2017) 10.5 인치 입니다.
정가 2만 5천원
미개봉입니다. 스티커 뜯지도 않음.
교환 환불 불가
이번주까지만 거래합니다

직거래 지산동 용지초등학교 또는 목련시장
반값택배/끼리택배 가능. 택배비 별도.",대구 수성구 지산동,"10,000원"
1341,아이패드 프로 2세대 +펜슬,"개별판매 안합니다
패드 하단 부분에 약한 화이트 스팟 있습니다만 실사용에서 거의 안보입니다
배터리 상태 90퍼센트 입니다
펜슬은 올해 4월에 따로 구입한가라 얼마 사용안했습니다",경남 창원시 진해구 석동,"400,000원"
1342,아이패드 11인치형 매직키보드 팝니다,"-매직키보드

-2020년 11월 구입

-정가 389,000원

상태 A급입니다. 6개월정도밖에 안썼고
거의 집에서만 사용했습니다. 

시흥 직거래 가능합니다",경기도 시흥시 배곧동,"290,000원"
1343,아이패드 6세대 128g wifi모델 + 벨킨 키보드,"아이패드 6세대 128g 와이파이모델 입니다 
색상은 로즈골드입니다

뒷판에 생활기스 살짝 있긴한데 계속 케이스 끼고 다녀서 실제로 보면 사진만큼 안심해요 필름도 계속 붙혀두고 사용해서 화면 깨끗하고 필름만 갈아서 사용하시면 돼요 
모서리 하자외엔 하자 없어요 ! 

배터리도 오래가는 편이고 충전기 아이패드 전용 충전기 드려요 선있긴한데 모가지부분 사용감이 좀 있어요 
본체는 하자 0이라서 선만 바꾸시면 될 듯 해요 원하시면 선 같이 드려요 

케이스원가 135000원인가 주고 샀고 3만원에 팔고 있는데 같이 사시면 2만원에 드릴게요! (올려둔 금액 케이스 포함 가격입니다!)

*케이스 미포함 거래시 올려둔 금액 -2만원 가격으로 생각 하시면 됩니다!*",경기도 성남시 수정구 신흥2동,"470,000원"
1344,아이패드 프로 12.9인치 128기가 풀박스 상태 S급 판매,"아이패드 Pro 12.9 4세대 128GB wifi 풀박스 입니다. 사용기간은 3개월정도이고, 수업용으로 몇번쓰고 안썼습니다. 4만원 상당 케이스도 같이 드리겠습니다. 유성고 근처에서 거래합니다.",대전 유성구 온천1동,"1,000,000원"
1345,아이패드 드로잉책,"사서 한번보고 안봤어요 ..
쿠팡에서 15000원에 주고 구매했습니다 !",경기도 안산시 단원구 백운동,"10,000원"
1346,아이패드 프로 3세대 11형 256기가 스페이스 그레이 와이파이 베터리 효율 93%,"액정이나 테두리, 애플펜슬 붙이는데 기스 없고 떨어뜨린적 없어요. 케이스도 깔끔합니다.
지문방지 필름 붙여져 있습니다.

(카메라 하나짜리고 충전기는 c타입입니다. 가끔 헷갈려하시는분이 있어서)

페이스 아이디 정상작동해요

‼️구성 : 아이패드본품, 덮는케이스 

자세히 올렸다고 생각하지만, 이외에 궁금하신점은 당근톡주시면 최대한 상세히 알려드릴게요!

지금 제가 언제팔릴지 몰라 일단 사용중이고 계속 대기타는게 아니라 당장 1시간뒤에 거래 이런건 어렵습니다. 아침에 연락하셨음 오전중에 포멧하고 오후거래는 가능해요

구매의사 정말 있으신 분이 여쭈어봤으면 좋겠습니다…찔러보기는 이제 그만받을게요 본문내용 (안읽고) 다시 묻거나 아이패드 검색하면 나오는 기본질문은 답변 안할게요

매너거래해요^^",제주 제주시 이도2동,"850,000원"
1347,아이패드 미니 4   128 G  실버  WIFI,"구입 후 잘 사용 하지않아  배터리 효율 무지 좋으며

전면 보호 강화유리 부착   . 항상 케이스 사용으로 상처나 기스 없습니다",인천 중구 해안동4가,"240,000원"
1348,아이패드미니4 골드64G/WIFI,"인터넷검색
인강
음악듣기
정도로만 사용한 패드입니다

상태양호합니다


#중고기계 특성상 교환환불취소불가합니다
#생활기스있습니다
#직거래가능합니다
#셀룰러모델로교환가능합니다",경기도 화성시 기배동,"230,000원"
1349,"아이패드 프로 2세대 10.5인치 64gb wifi (스마트 키보드 폴리오, 애플펜슬 포함)","안녕하세요.

아이패드 프로 2세대 10.5인치 64gb wifi 모델과 스마트 키보드 폴리오, 애플펜슬 함께 판매합니다.

상자도 함께 드립니다. 다만, 아이패드 프로에 있던 충전기는 없어서 애플 정품 케이블과 5w 충전 어댑터로 대체하여 드립니다. 또한, 애플펜슬 추가 펜촉은 사용하였습니다.

함께 판매를 최우선으로 하며 개별 판매는 어렵습니다. 

🍀아이패드 프로 2세대 10.5인치 64gb wifi 

약 3년정도 사용하였으며 현재 배터리 성능은 91%입니다. 사진 업로드 개수 제한으로 인해 올리지 못하였으나 거래시 증명 가능합니다.

❗️확인 사항
- 화면에 잔 기스 있으나 눈에 거슬일 정도는 1-2개 입니다.
- 사진에서 확인 가능하듯이 뒷면에 충격으로 인한 구겨짐 살짝 있습니다.
- 사람에 따라 확인 불가능 할 수도 있지만 하얀 화면에서 가장 자리가 약간 붉은 빛이 도는 경우가 있습니다. 
- 모서리 한 쪽에 찍힘 살짝 있습니다.

이 외에는 큰 문제 없는 것으로 확인됩니다. 
원하시는 기능 테스트 해서 채팅으로 말씀드릴 수도 있습니다.

🍀스마트 키보드 폴리오

하자 전혀 없고, 사용감만 있습니다.

🍀애플펜슬
원래 구성품 중 펜촉 하나는 사용하였고, 충전 어댑터는 새 것입니다. 기능상으로 문제 없습니다.

❗️확인사항
충격으로 인해 애플 펜슬 뚜껑에 금이 가 있습니다.


편하게 연락주시고 확인이 필요한 부분은 언제든 문의 주세요. 

직거래는 건대입구역, 어린이대공원역 부근에서 가능하며 택배 거래시에는 배송비 무료입니다!


120hz 주사율과 스테레오 스피커는 아직도 아이패드 프로 2세대 10.5인치를 매력적으로 만듭니다:)",서울 광진구 화양동,"470,000원"
1350,아이패드 프로 11인치 64기가,"🚨구매하기 전에 아래 내용들을 확인해주시기 바랍니다.🚨
1. 이 제품은 미국 정발 제품으로 한국 제품과 달리 무음촬영을 지원합니다.
2. 충전기는 110v 충전기를 포함합니다. 돼지코 충전기 젠더는 다이소에서 구매가 가능합니다.
3. 제품은 충전단자 부분이 휘어 있습니다. 그래서 가격을 5만원을 낮췄습니다.
4.구매하시는 날 부터 그 달의 마지막날까지 apple care +를 지원합니다. 만일 제품을 리퍼를 하고 싶으시면 5만원으로 새로운 제품으로 교환 가능합니다.
5. 64기가 와이파이 버전입니다.

직거래는 노원역에서 가능합니다. 
케이스와 충전기 그리고 종이질감필름을 포함하고 있습니다. (애플펜슬은 포함하지 않습니다)
애플펜슬 구매시 8만원입니다.",서울 노원구 상계3.4동,"581,000원"
1351,아이패드 프로 12.9인치 3세대용 스마트 폴리오(키보드 아님) 미개봉 팝니다,"아이패드 프로 3세대용 미개봉입니다. 색상은 그래이입니다. 
프로 4,5세대랑은 호환이 안 되는 제품이니 참고해주시고요! 

미개봉이라 특별한 설명은 생략하겠습니다~",서울 성북구 장위제3동,"60,000원"
1352,아이패드 미니5 wifi 64G 펜슬 포함,"빠르게 판매합니다.
정말 깨끗합니다. 확인해 보고 구매하세요.
펜슬 촉감 보호필름 붙여놓았는데 필름도 깨끗합니다.
펜슬도 함께 판매합니다.
케이스는 쓰던거 서비스로 드립니다.
케이스는 사용감 있습니다.
싸구려 케이스 아닙니다.
펜슬 용품까지 사진에 있는거 같이 드립니다.
펜슬 박스는 있지만 패드박스는 없네요.
마지막 가격 조정입니다.
거래는 양산 석산 직거래 가능합니다.
문의주세요.",경남 양산시 동면,"400,000원"
1353,아이패드프로3(12.9) 스마트폴리오커버,"아이패드프로3세대 12인치 스마트폴리오커버
구성품 및 상태 사진 확인 요망
네고문의 차단
노원 상계동 직거래",서울 노원구 상계10동,"130,000원"
1354,아이패드 정품 스마트커버 챠콜그레이,"아이패드 정품 스마트 커버 챠콜그레이 색상

사용감 있습니다

호환제품
아이패드 7세대, 8세대
아이패드 에어 3세대
아이패드 프로 10.5

직거래 전남대입니다",광주 북구 용봉동,"20,000원"
1355,Moko 아이패드 파우치,"구매 후 다른 파우치를 선물받아 한두번 사용한게 다 입니다. 패드 11인치에 케이스,애플펜슬을 붙여도 모두 들어가는 크기고 상단부분은 자석으로 되어있어 편리합니다! 

직거래는 1호선 대방역 가능합니다:)",서울 동작구 대방동,"10,000원"
1356,아이패드 정품 스마트커버 캑터스,"아이패드 정품 스마트 커버 캑터스 색상

사용감 있습니다

호환제품
아이패드 7세대, 8세대
아이패드 에어 3세대
아이패드 프로 10.5

직거래 전남대 입니다",광주 북구 용봉동,"20,000원"
1357,아이패드 태블릿 휴대폰 전용 로지텍 K480,"멀티 블루투스 키보드 블랙 색상입니다.
상태 좋습니다.

키보드가 갑자기 여러개 생겨서 판매합니다.",경기도 성남시 분당구 백현동,"12,000원"
1358,아이패드 프로 11인치 캐이스,스티커 붙여서 키치하게 케이스로 쓰면 예뻐요,경기도 성남시 분당구 구미1동,"9,900원"
1359,아이패드에어4 블루 판매합니다(펜슬포함)(새상품),"아이패드 에어4 블루 64gb
애플펜슬2세대
정품 펜슬팁 4개
라이노 케이스, 필름
스코코 종이질감필름
투명케이스
패드 거치대

판매합니다 70받고 한번에 다 드립니다
전부다 사용감없고 싹다 새거입니다 사고나서 사용안했어요 공부할려고삿는데 안하게되서 팔아요
완전새거고 모든물건 기스하나찾을때마다 5만원씩 까드려요 !
010-7660-9509",부산 강서구 명지동,"700,000원"
1360,아이패드 프로 스마트 키보드(10.5 인치),"애플 정품 키보드입니다.
iPad Pro Smart Keyboard (10.5 inch)

구매한 뒤 개봉 후 아이패드를 연결해봤으나 인치를 잘못알고사서 바로 상자에 넣은 경우입니다. 그 후 사용한적 없습니다.

참고로 뒷면 상자를 보면 ‘제조년월 : MAY-2018’으로 되어있습니다.

거래시 본인 아이패드를 가지고 나오셔서 장착해 보시고, 제대로 작동하는지 여부 확인 후 구매/수령하시면 됩니다.(3년동안 사용한 적이 없으므로 작동여부 확인해 보셔야 할 것 같아서 그렇습니다.)

대치역 근처에서 직거래 원합니다.",서울 강남구 대치동,"75,000원"
1361,아이패드 미니 5 + 애플 펜슬,"미니 5 펜슬과 랩씨 케이스 판매. 
와이파이 64기가. 
배터리 풀로 돌아가고 
상태 좋으며 
둘다 박풀. 
궁금한거 있으시면 물어보세요~~",서울 용산구 용산동2가,"450,000원"
1362,아이패드에어4 64g 스그 팝니다(애케플),"2021년 2월 10일에 구매한 아이패드에어4 64g 스페이스 그레이 판매합니다. 애플케어플러스 가입되어있어서 보증기간은 2023년 2월 10일까지구요 (일년더길어요) 구매후 바로 케이스만 끼우고 보호필름없이 사용했는데 잘 안써서 상태 매우 좋아요~~

기존에 맥북프로를 사용중이라서 아이패드로는 가끔 굿노트로 메모장만 사용했어요~10일에 한번정도? 잘 안써서 판매합니다.

라이노퍼플 케이스 포함이구! 89000원 애케플 포함가격이에요:) 상태는 좋으니 직접 보셨으면 합니다~
그리고 구매당시 받았던 박스 충전기 모두 포함이에요 !



*애플펜슬2세대는 +125000원에 팝니다.
이것도 사용 잘 안했어요!",경기도 화성시 반송동,"700,000원"
1363,아이패드 7세대 스그 128기가 + 애플펜슬 팔아용,"작년 8월에 구매하여 실 사용 1년 안됐습니다 !
케이스랑 필름을 한 번도 벗긴 적 없어서 아주아주 깨끗하고 펜슬도 펜슬필름 벗긴 적 없어서 깨끗합니다 ~! 피피티 많은 대학생분들, 이비에스 교재나 인강 교재 다운 받아서 푸시는 학생분들 완전 강추드려요 !

사용하는데 이상이 있어서 파는 거 아니고 다른 제품 구매해서 팝니당",부산 해운대구 재송동,"500,000원"
1364,아이패드 에어 3세대 펜슬1,"펜슬포함.60만원입니다
64기가 실버색상


밧데리효율 94%
구입시기20년3월8일
깨짐하자없어요
as기간지났어요
박스풀세트",경기도 평택시 지산동,"600,000원"
1365,아이패드 10.5 가죽케이스 (2개),"사용 안해서 판매합니다

2개 9000 1개 5000",인천 남동구 만수동,"9,000원"
1366,아이패드 미니5 + 애플펜슬 + 애케플,"아이패드 미니5 64 wifi
호환되는 애플펜슬 1 (2는 호환이 안돼요)
애플케어플러스 2022.01.03까지


패드에는 종이필름 붙여놨어요.
펜슬 썼을 때 사각사각 소리나도록요..!

급전 필요해서 파는 거라 최대한 가격 맞춰드리구요.
아이패드 감싸져있는 종이까지 있고, 정말 사용 거의 안 했습니다.


선릉역 당산역 직거래 가능해요
충전기도 뜯기만 하고 안 썼어요.

연락 주세요🙏🏻",서울 영등포구 당산동5가,"450,000원"
1367,아이패드7세대 펜슬1,"32기가 실버색상입니다
밧데리효율 100프로입니다
구입 20년7월19일
펜슬포함입니다
박스풀세트",경기도 평택시 지산동,"450,000원"
1368,아이패드 에어 1세대 64g wifi 팝니다,"아이패드 에어 1세대 팝니다

본체 충전기 케이블 이렇게구성이구요

상태는 테두리 살짝 까짐외 액정기스도없는 노말한 수준의 상태입니다",전북 완주군 이서면,"130,000원"
1369,아이패드 프로 3세대 12.9 64(lte 자급제)+ 정품 키보드폴리오케이스+애플펜슬2 팔아요!,"lte 알뜰폰 유심끼우고 사용해서 통신사 미가입된 상태라 아무 유심끼우고 사용하셔도 됩니다. 
아이패드는 집에서 케이스에 필름붙여져있는상태로사용해깨끗합니다(현재는 필름 미부착, 기스전혀x) 
 애플펜슬2는 펜슬 그립2개 같이 드리구, 떨군적이있어위에금이가있습니다(사진 참고)
정품키보드스마트폴리오(사용감 많음 사진 참고)+ esr자석형 스마트 폴리오 케이스(깨끗함) 함께 드립니다. 
더필요한사진이나 물어보실거있으시면 문자주세요",울산 남구 달동,"900,000원"
1370,"맥스퍼 아이패드,핸드폰거치대","홈페이지에서는 배송비포함14,300원에판매중이네용
아이패드,핸드폰 거치대입니다.
애기들 유투브,핸드폰 보여줄때 쓰기좋아요~~
보관주로해서 사용감별로 없습니다~~^^",경기도 하남시 망월동,"8,000원"
1371,아이패드 에어2 /키보드케이스포함(벨킨) 네고가능💙,"✔️아이패드에어2 벨킨키보드케이스 포함
✔️아이패드 풀박(어댑터+충전기)
✔️벨킨키보드케이스(박스포함)
✔️64기가 / wifi ver.

🔸아이패드 배터리효율94%
🔸케이스 세우는부분 사용감 살짝
🔸주식보는 용도로만 사용해서 깨끗깔꼼해요
🔸노트북 구매로 인해 새로운 주인한테 보내려합니다

⭐️아이패드 : 생활기스 없음, 테두리 찍힘 없음,
기스 1도 없음 
⭐️상태 S급

제가 몇 일 후면 부산을 벗어나는데 그곳엔 아이패드를 들고갈수가 없어서 ,, 그 전에 팔아야해서
일찍 연락주시면 더 네고해드려요 ,,!",부산 남구 대연동,"280,000원"
1372,아이패드 프로 9.7 wifi 32g + 블루투스 키보드 팝니다.,"사용감 있습니다.
구성품은 본체와 낡은 싸구려 케이스 및 블루투스 키보드 입니다. 
펜슬 1세대 사서 사용하려다가 기기 업글하면서 판매합니다.",서울 성동구 송정동,"280,000원"
1373,아이패드 미니 5세대(64GB/wifi)+박스+아이펜슬 1세대,"아이패드 실버(박스있음/충전기 없음)
아이펜슬 1세대(펜슬은 박스 없고 앞부분에 기스가 있어 따로 판매 안하고 함께 판매해요. 

키보드케이스+커버케이스(사진은 못찍었어요/화이트마블)

모두 세트로 판매합니다. 
케이스 씌어 사용했던거라 상태좋고 종이질감 필름 붙어 있습니다. 

업무용으로 구입했는데 사용을 별로 안해서 판매해요.",서울 송파구 가락본동,"380,000원"
1374,아이패드 프로 4세대 12.9 매직키보드 네고X,"애플 아이패드 프로 4세대 12.9인치 
매직키보드 한글자판 판매합니다
집에서만 사용해서 기스 일절 없습니다
2월 22일에 구매해서 자기전에 침대에서만 사용하다가 사용빈도가 줄어서 판매합니다
스티커는 원하시면 제거해드리겠습니다
제품 박스 있습니다",서울 서초구 잠원동,"340,000원"
1375,아이패드 프로 4세대 12.9형 256G (wifi+cellular) 실버 색상,"개봉 후 사용횟수 5번 미만, A급 제품입니다.
창동역, 녹천역 직거래 가능합니다.",서울 도봉구 창동,"1,200,000원"
1376,아이패드 에어 3 액정 유리 판매,"아이패드 에어3 액정유리 판매합니다.

사용하려고 구매했는데 종이질감 필름을 사용하게 돼서 그냥 판매합니다.

직거래 : 대림역
택배거래 가능 (착불이며, 배송으로 인한 문제에 책임지기 어렵습니다.)

연락주세요!",서울 구로구 구로동,"5,000원"
1377,아이패드 에어3 10.5 심플리시티 케이스,"원가 34,900원

- 검정색
- 열어보지도 않았습니다

직거래 희망 : 무거동 가능
택배시 본인 부담",울산 남구 무거동,"10,000원"
1378,아이패드 에어3 스그 wifi 256+애플펜슬 sss급,"아이패드 에어3 스그 wifi 256+애플펜슬 판매합니다 박스포함 구매패키지 그대로 있어요!

작년 7월 구매 후 집에서 가끔 넷플릭스 보는 용도로만 써서 5초전 언박싱한 수준입니다.. 학동역 이수역 직거래 가능해요 챗 주세요 :)",서울 동작구 사당동,"730,000원"
1379,아이패드 실버 6세대 32GB 와이파이 + belkin 키보드,"아이패드 실버 6세대 32GB 외이파이 + belkin 블루투스 키보드 입니다 

새것과 다름 없고 생활기스 조차 없는것 같습니다 

풀박스 입니다 구매하시고 바로 사용 가능 하세요 

직거래 걸포북변역 또는 홍대입구역 가능하세요",경기도 김포시 걸포동,"270,000원"
1380,아이패드 5세대 128GB,"아이패드 5세대 팝니다:)
기가는 128GB로 넉넉합니다
 
항상 케이스 사용했고 자주 사용하던게 아니라
큰 스크레치는 없어요

와이파이 잡아야 하는 모델이지만
넷플릭스, 인강용 등 사용하기 좋아요",서울 은평구 불광동,"250,000원"
1381,아이패드 프로 17년형 12.9 액정 필름,"등신같이 버전을 잘못 알고 샀어요
제 아이패드 프로랑 맞지 않는 형태라 내놓습니다 
시험 착용도 못 해 봤는데 가격 깎았어요
지능 수준 때문에 눈물이 나네요 진심

구성: 전면 1개, 후면 2개",서울 서대문구 냉천동,"10,000원"
1382,아이패드 프로4세대 12.9인치 wifi 128기가 (스페이스 그레이)+ 애플펜슬 2세대,"작년 10월 말에 구매하고 별로 안 써서 상태 좋아요! 노트북 필요해서 팝니다ㅠㅠ 
펜슬은 2세대입니다.
아이패드에 필름은 없지만 액정이랑 뒷면 깨끗합니다
사진 더 필요하시면 연락주세요~

구매하시면 초기화 후 아이패드랑 펜슬 박스에 넣어서 충전기랑 같이 드려요! 

직거래는 두암3동에서 합니다",광주 북구 오치2동,"1,000,000원"
1383,아이패드 8세대 스페이스그레이 32기가 + 애플펜슬,"다른 제품을 선물받아 판매합니다~~ 
와이파이 제품이고 20년 11월에 구매했고 하자 없어요
충전기만 따로 구매하시면 됩니다 ! 
가격은 못 깎아드리니 구매 하실 분들만 연락주세요 ㅎㅎ",광주 남구 노대동,"450,000원"
1384,아이패드 파우치 13인치,"아이패드 파우치 13인치용 팝니다
패드는 다 넣을수 있을것 같고요

정가 1만6천원정도하는거
1만원에 구매

저는 5천원에 팝니다
미개봉 이라  비닐포장 그대로 있고요

위에 사진누르시면 전면 큰사진 보실수있습니다",서울 구로구 개봉제3동,"5,000원"
1385,아이패드 에어2 64기가 wifi 모델,"아이패드 에어2 입니다 기타 구성품 없고 본체 밖에 없구요 뒷면 생활 기스 약간 있고 앞면은 기스가 심한데 보호필름이라 벗겨내시면 깨끗합니다

배터리 효율은 사진과 같이 92%입니다

황령터널 위 대우그린1차 에서 직거래 원합니다",부산 남구 대연동,"190,000원"
1386,아이패드 에어1  16G 팝니다,"강화필름 사용으로
액정  모서리 기스없이  깨끗합니다
밧데리 성능 매우 양호합니다
케이스  같이  드립니다",제주 제주시 노형동,"180,000원"
1387,아이패드 미니 1 32기가바이트 판매입니다,"아이 패드 미니 1 32 기가이며, wifi 모델입니다, 제품은 깨끗한 편이며 케이스가 씌워져있긴합니다만 새로사시는걸 추천합니다.
정품충전기도 있으며 사진에서 보시다시피 정품케이블은 많이 상했습니다. 세월때매 부식은 막을수 없더군요. 그래서 케이블을 추가구매했는데 혹시모르니 정품케이블도 같이 드릴게요.
미니1에서는 지원되지않는 어플이 많습니다. 인터넷 검색하시면 바로 알수있어요. 그렇기때문에 이가격에 내놓습니다.
많은거 안바라셨으면 좋겠구요.
기본어플사용이나 카메라정상작동되며, 요새 많이 사용하는 화상어플인 zoom은 되었습니다. 또한 유튜브는 인터넷 브라우져 사파리상에서 시청 가능하므로 아이들 영상틀어주는용으로 아주 좋을것같습니다.",경기도 화성시 양감면,"90,000원"
1388,아이패드 미니5 키보드,"https://m.smartstore.naver.com/winglife/products/5569719289?NaPm=ct%3Dkpba5vvc%7Cci%3D0c3512473c4b012072217596c1a04fa25fb1b8f2%7Ctr%3Dslsl%7Csn%3D3330528%7Chk%3D36fb72819eef3f9206ef5a78b7f75b0f49029381

생활기스 있고 사진과 같이 조금 파손있는 부분이 있지만 실사용 문제없습니다! 
채팅으로 문의 바랍니다~~! 신림역이나 신대방역 직거래 가능합니다!",서울 관악구 난향동,"20,000원"
1389,아이패드 미니 5 64g 스페이스 그레이 팝니다,"아이패드 미니 5 64g 스페이스 그레이 (와이파이 모델) 판매합니다.☺️
똑같은 제품 256g 이 생기게되어 판매하게됐어요

풀박스 제품이고 배터리 효율은 100%이구요! 케이블과 어댑터는 사용하지않은 제품입니다😊😊😊
실제로 확인해보고 구매결정하시는걸 추천드려요 :)",서울 성동구 성수1가제2동,"350,000원"
1390,아이패드 프로 2세대 10.5인치 풀박 + 애플펜슬 + 가죽 케이스 + 거치케이스,"아이패드 프로 2세대 10.5인치 풀박 
상태 최상 입니다. 기스 하나 없어요
화면은 종이필름 부착한 상태입니다.

애플펜슬과 각종 케이스 다 드려요.

애지중지 케이스 한 번도 안벗기고 아끼며 사용했습니다

펜슬도 마찬가지로 항상 마스킹테이프나 케미꽂이 사용해서 마모도 1도 없어요 ~

직거래 덕천역이나 숙등역 아니면 선금 받아요.",부산 북구 덕천동,"450,000원"
1391,어프어프 정품 13인치 아이패드 파우치,"어프어프 13인치 파우치 입니다
텐바텐에서 35,000원에 구매한 제품 입니다
사용감은 있습니다 아이패드랑 블루투스 키보드 넣고 다니기 좋아요",광주 북구 문흥동,"15,000원"
1392,아이패드 8세대 wifi 32기가 미개봉 제품 팝니다,"아이패드 8세대 wifi 32기가 미개봉 제품 팝니다.

5월에 구매했구요, 선물하려고 산건데 사정이 생겨서 그냥 판매합니다. 아예 박스 뜯지도 않은 새제품입니다",전북 군산시 수송동,"370,000원"
